Date,AXP,BA,CAT,CSCO,CVX,DIS,HD,IBM,JNJ,KO,MCD,MMM,MRK,MSFT,PG,TRV,VZ,WMT
2014-09-16,75.64224243164062,110.71096801757812,79.02926635742188,18.056379318237305,78.94568634033203,81.7146987915039,70.2492446899414,117.46665954589844,78.51636505126953,29.659006118774414,71.2440185546875,85.15637969970703,41.109500885009766,39.74800491333008,62.22167205810547,73.70994567871094,28.319805145263672,20.60493278503418
2014-09-17,76.2500228881836,111.09358978271484,78.37357330322266,18.049230575561523,78.79408264160156,81.7690200805664,70.98853302001953,117.36930847167969,78.7462387084961,29.637643814086914,71.07682800292969,85.46208953857422,41.03411865234375,39.54399490356445,62.28087615966797,73.71784973144531,28.464406967163086,20.583335876464844
2014-09-18,77.13179016113281,111.80660247802734,78.6373519897461,18.056379318237305,78.42762756347656,81.77806091308594,71.66558837890625,117.94756317138672,79.60641479492188,29.765859603881836,71.03882598876953,86.32630920410156,41.32879638671875,39.68000411987305,62.30308151245117,74.6072998046875,28.742063522338867,20.577939987182617
2014-09-19,76.78935241699219,112.47616577148438,77.25814056396484,18.042068481445312,78.84459686279297,81.91384887695312,71.8601303100586,118.09974670410156,80.0810317993164,29.951038360595703,71.70759582519531,86.23809814453125,41.4521369934082,40.39402389526367,62.510276794433594,74.4735107421875,29.12381362915039,20.745315551757812
2014-09-22,76.1815185546875,111.83270263671875,76.04472351074219,17.877399444580078,78.01701354980469,80.82758331298828,71.50995635986328,117.55794525146484,79.99945831298828,30.0721378326416,71.38079071044922,85.66197967529297,41.51380920410156,40.003013610839844,62.76185989379883,74.46561431884766,29.025487899780273,20.602230072021484
2014-09-23,75.59944152832031,110.76315307617188,75.3589096069336,17.684093475341797,77.7453384399414,79.94046020507812,71.19864654541016,116.65088653564453,79.68800354003906,29.837068557739258,71.06163787841797,84.87420654296875,41.30823516845703,39.5779914855957,62.488067626953125,73.63912200927734,28.869314193725586,20.410552978515625
2014-09-24,75.77920532226562,111.80660247802734,76.27082824707031,17.88456153869629,77.328369140625,80.972412109375,72.38932800292969,117.07095336914062,80.56305694580078,30.107736587524414,72.19393157958984,85.17401885986328,41.36305236816406,40.02002716064453,63.08009719848633,74.61518859863281,28.96186637878418,20.810121536254883
2014-09-25,74.27251434326172,110.55445098876953,74.99716186523438,17.569536209106445,76.24172973632812,79.72320556640625,71.51770782470703,115.06204223632812,79.42102813720703,29.75873565673828,71.55558013916016,83.76309204101562,40.86965560913086,39.135963439941406,62.40665054321289,73.75718688964844,28.69578742980957,20.550933837890625
2014-09-26,75.6507797241211,111.90225982666016,75.65283203125,17.898880004882812,76.74080657958984,80.32970428466797,72.24922180175781,115.70124816894531,79.42102813720703,30.057884216308594,71.9659423828125,83.72781372070312,40.69834518432617,39.450496673583984,62.5916748046875,74.30821228027344,28.78834342956543,20.650836944580078
2014-09-29,75.29122924804688,111.97183990478516,75.23832702636719,17.984792709350586,76.15959930419922,80.41117095947266,72.2803726196289,115.44552612304688,79.00576782226562,30.093503952026367,73.12104797363281,83.59258270263672,40.71204376220703,39.47597885131836,62.488067626953125,73.81226348876953,28.776756286621094,20.54014015197754
